Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1895-2000
Missing: -99
Date,Value,Anomaly
189501,44.6,-0.8
189502,38.5,-10.8
189503,56.4,0.0
189504,64.8,0.0
189505,69.7,-2.8
189506,78.0,-1.6
189507,80.3,-2.0
189508,81.4,-0.5
189509,77.1,1.2
189510,61.7,-4.3
189511,50.0,-4.6
189512,45.4,-1.4
189601,45.2,-0.2
189602,49.4,0.1
189603,53.8,-2.6
189604,67.3,2.5
189605,77.4,4.9
189606,82.0,2.4
189607,82.0,-0.3
189608,82.9,1.0
189609,75.3,-0.6
189610,63.4,-2.6
189611,53.8,-0.8
189612,48.4,1.6
189701,40.8,-4.6
189702,51.3,2.0
189703,59.1,2.7
189704,64.5,-0.3
189705,71.5,-1.0
189706,79.7,0.1
189707,83.4,1.1
189708,80.3,-1.6
189709,74.5,-1.4
189710,68.1,2.1
189711,55.7,1.1
189712,44.0,-2.8
189801,47.9,2.5
189802,52.0,2.7
189803,56.5,0.1
189804,63.6,-1.2
189805,73.2,0.7
189806,79.3,-0.3
189807,81.1,-1.2
189808,80.4,-1.5
189809,75.8,-0.1
189810,64.6,-1.4
189811,50.5,-4.1
189812,41.6,-5.2
189901,43.2,-2.2
189902,39.2,-10.1
189903,57.5,1.1
189904,63.2,-1.6
189905,75.6,3.1
189906,79.5,-0.1
189907,81.6,-0.7
189908,84.5,2.6
189909,75.9,0.0
189910,67.3,1.3
189911,55.4,0.8
189912,45.1,-1.7
190001,47.3,1.9
190002,47.1,-2.2
190003,56.3,-0.1
190004,63.8,-1.0
190005,72.0,-0.5
190006,81.2,1.6
190007,81.2,-1.1
190008,80.9,-1.0
190009,78.8,2.9
190010,67.3,1.3
190011,55.4,0.8
190012,46.2,-0.6
190101,48.0,2.6
190102,46.2,-3.1
190103,55.4,-1.0
190104,62.6,-2.2
190105,72.5,0.0
190106,81.9,2.3
190107,83.9,1.6
190108,83.7,1.8
190109,76.1,0.2
190110,68.2,2.2
190111,56.4,1.8
190112,45.5,-1.3
190201,44.6,-0.8
190202,47.3,-2.0
190203,57.0,0.6
190204,67.9,3.1
190205,75.6,3.1
190206,82.3,2.7
190207,81.0,-1.3
190208,83.7,1.8
190209,74.2,-1.7
190210,66.3,0.3
190211,58.2,3.6
190212,46.1,-0.7
190301,45.1,-0.3
190302,43.8,-5.5
190303,54.3,-2.1
190304,64.0,-0.8
190305,69.9,-2.6
190306,73.7,-5.9
190307,81.5,-0.8
190308,81.1,-0.8
190309,74.2,-1.7
190310,63.7,-2.3
190311,53.8,-0.8
190312,46.8,0.0
190401,44.0,-1.4
190402,53.4,4.1
190403,62.0,5.6
190404,65.0,0.2
190405,71.5,-1.0
190406,78.0,-1.6
190407,80.3,-2.0
190408,80.1,-1.8
190409,76.0,0.1
190410,66.0,0.0
190411,54.1,-0.5
190412,46.4,-0.4
190501,42.2,-3.2
190502,38.0,-11.3
190503,59.2,2.8
190504,62.7,-2.1
190505,73.7,1.2
190506,79.7,0.1
190507,79.9,-2.4
190508,82.4,0.5
190509,77.5,1.6
190510,64.8,-1.2
190511,56.7,2.1
190512,41.4,-5.4
190601,46.0,0.6
190602,47.3,-2.0
190603,52.2,-4.2
190604,65.0,0.2
190605,72.4,-0.1
190606,79.8,0.2
190607,79.4,-2.9
190608,79.2,-2.7
190609,75.8,-0.1
190610,60.9,-5.1
190611,53.1,-1.5
190612,52.0,5.2
190701,53.3,7.9
190702,52.4,3.1
190703,65.2,8.8
190704,63.0,-1.8
190705,67.9,-4.6
190706,78.9,-0.7
190707,81.0,-1.3
190708,82.9,1.0
190709,77.3,1.4
190710,66.0,0.0
190711,51.0,-3.6
190712,48.5,1.7
190801,47.6,2.2
190802,49.7,0.4
190803,62.1,5.7
190804,65.5,0.7
190805,72.5,0.0
190806,80.5,0.9
190807,79.8,-2.5
190808,80.1,-1.8
190809,74.4,-1.5
190810,63.3,-2.7
190811,54.8,0.2
190812,49.6,2.8
190901,50.4,5.0
190902,52.0,2.7
190903,57.4,1.0
190904,64.7,-0.1
190905,72.0,-0.5
190906,80.1,0.5
190907,83.8,1.5
190908,82.3,0.4
190909,75.2,-0.7
190910,65.9,-0.1
190911,60.5,5.9
190912,40.3,-6.5
191001,47.1,1.7
191002,45.3,-4.0
191003,61.8,5.4
191004,64.3,-0.5
191005,71.2,-1.3
191006,79.7,0.1
191007,83.5,1.2
191008,83.6,1.7
191009,78.7,2.8
191010,65.3,-0.7
191011,56.7,2.1
191012,47.6,0.8
191101,52.6,7.2
191102,52.2,2.9
191103,60.2,3.8
191104,64.7,-0.1
191105,71.9,-0.6
191106,82.8,3.2
191107,81.5,-0.8
191108,82.8,0.9
191109,80.7,4.8
191110,65.5,-0.5
191111,50.7,-3.9
191112,43.5,-3.3
191201,41.6,-3.8
191202,45.2,-4.1
191203,50.9,-5.5
191204,64.0,-0.8
191205,73.5,1.0
191206,77.0,-2.6
191207,83.3,1.0
191208,82.6,0.7
191209,75.9,0.0
191210,66.8,0.8
191211,53.2,-1.4
191212,43.6,-3.2
191301,45.2,-0.2
191302,45.1,-4.2
191303,52.4,-4.0
191304,63.2,-1.6
191305,72.8,0.3
191306,76.9,-2.7
191307,82.4,0.1
191308,82.3,0.4
191309,71.8,-4.1
191310,62.6,-3.4
191311,59.5,4.9
191312,44.6,-2.2
191401,50.7,5.3
191402,46.2,-3.1
191403,53.7,-2.7
191404,63.4,-1.4
191405,70.6,-1.9
191406,79.7,0.1
191407,83.1,0.8
191408,79.8,-2.1
191409,75.9,0.0
191410,65.2,-0.8
191411,55.4,0.8
191412,40.2,-6.6
191501,43.3,-2.1
191502,50.9,1.6
191503,46.5,-9.9
191504,64.2,-0.6
191505,71.3,-1.2
191506,80.2,0.6
191507,81.7,-0.6
191508,78.7,-3.2
191509,76.2,0.3
191510,65.9,-0.1
191511,57.3,2.7
191512,49.2,2.4
191601,48.7,3.3
191602,51.3,2.0
191603,61.3,4.9
191604,62.7,-2.1
191605,73.4,0.9
191606,81.4,1.8
191607,82.4,0.1
191608,81.0,-0.9
191609,74.8,-1.1
191610,66.0,0.0
191611,53.2,-1.4
191612,47.2,0.4
191701,47.4,2.0
191702,50.7,1.4
191703,56.5,0.1
191704,64.0,-0.8
191705,68.2,-4.3
191706,80.4,0.8
191707,84.1,1.8
191708,82.4,0.5
191709,75.3,-0.6
191710,62.9,-3.1
191711,56.1,1.5
191712,43.8,-3.0
191801,38.3,-7.1
191802,50.8,1.5
191803,60.6,4.2
191804,63.4,-1.4
191805,73.4,0.9
191806,82.4,2.8
191807,84.1,1.8
191808,83.2,1.3
191809,72.4,-3.5
191810,67.1,1.1
191811,51.4,-3.2
191812,46.5,-0.3
191901,42.4,-3.0
191902,47.7,-1.6
191903,55.2,-1.2
191904,64.5,-0.3
191905,70.1,-2.4
191906,75.5,-4.1
191907,80.2,-2.1
191908,81.7,-0.2
191909,75.1,-0.8
191910,67.9,1.9
191911,54.1,-0.5
191912,45.4,-1.4
192001,42.8,-2.6
192002,51.0,1.7
192003,54.6,-1.8
192004,62.8,-2.0
192005,73.3,0.8
192006,77.5,-2.1
192007,82.2,-0.1
192008,78.5,-3.4
192009,77.4,1.5
192010,66.3,0.3
192011,51.6,-3.0
192012,47.1,0.3
192101,50.8,5.4
192102,50.9,1.6
192103,61.0,4.6
192104,62.8,-2.0
192105,72.6,0.1
192106,78.2,-1.4
192107,81.6,-0.7
192108,83.1,1.2
192109,79.3,3.4
192110,66.8,0.8
192111,58.6,4.0
192112,51.7,4.9
192201,42.7,-2.7
192202,51.8,2.5
192203,55.2,-1.2
192204,65.4,0.6
192205,73.5,1.0
192206,78.7,-0.9
192207,82.9,0.6
192208,83.7,1.8
192209,77.3,1.4
192210,65.7,-0.3
192211,55.5,0.9
192212,51.6,4.8
192301,53.2,7.8
192302,46.9,-2.4
192303,52.0,-4.4
192304,64.2,-0.6
192305,72.7,0.2
192306,80.2,0.6
192307,82.6,0.3
192308,82.5,0.6
192309,76.4,0.5
192310,62.6,-3.4
192311,52.4,-2.2
192312,47.6,0.8
192401,41.0,-4.4
192402,47.1,-2.2
192403,50.7,-5.7
192404,63.6,-1.2
192405,68.9,-3.6
192406,81.9,2.3
192407,82.0,-0.3
192408,84.4,2.5
192409,74.1,-1.8
192410,66.7,0.7
192411,58.0,3.4
192412,44.7,-2.1
192501,42.9,-2.5
192502,54.3,5.0
192503,60.8,4.4
192504,70.0,5.2
192505,72.9,0.4
192506,82.7,3.1
192507,84.7,2.4
192508,81.2,-0.7
192509,77.4,1.5
192510,63.2,-2.8
192511,53.0,-1.6
192512,43.2,-3.6
192601,42.1,-3.3
192602,53.6,4.3
192603,52.9,-3.5
192604,60.4,-4.4
192605,71.2,-1.3
192606,79.1,-0.5
192607,80.5,-1.8
192608,81.3,-0.6
192609,78.2,2.3
192610,69.2,3.2
192611,52.4,-2.2
192612,46.8,0.0
192701,48.0,2.6
192702,54.5,5.2
192703,56.2,-0.2
192704,68.0,3.2
192705,76.9,4.4
192706,79.0,-0.6
192707,82.1,-0.2
192708,82.7,0.8
192709,76.9,1.0
192710,67.7,1.7
192711,61.6,7.0
192712,42.9,-3.9
192801,46.4,1.0
192802,48.7,-0.6
