,Precipitation,encode_state,Year,Month
0,1.069684366,0,1896,1
1,1.105664267,0,1896,2
2,1.40540648,0,1896,3
3,1.773832913,0,1896,4
4,1.767032274,0,1896,5
5,1.118191152,0,1896,6
6,2.209804067,0,1896,7
7,1.854584694,0,1896,8
8,1.611325937,0,1896,9
9,1.259077191,0,1896,10
10,1.090784626,0,1896,11
11,1.07229443,0,1896,12
108,1.167897545,0,1897,1
109,1.222115126,0,1897,2
110,1.585911793,0,1897,3
111,1.846563517,0,1897,4
112,2.086241256,0,1897,5
113,1.552795103,0,1897,6
114,2.114936714,0,1897,7
115,2.154152302,0,1897,8
116,1.575129258,0,1897,9
117,1.420767095,0,1897,10
118,1.036525814,0,1897,11
119,1.030628356,0,1897,12
216,1.11821124,0,1898,1
217,0.891556743,0,1898,2
218,1.25393358,0,1898,3
219,1.69414443,0,1898,4
220,2.766783101,0,1898,5
221,1.607193466,0,1898,6
222,2.251829123,0,1898,7
223,1.868103569,0,1898,8
224,1.440361138,0,1898,9
225,1.210530595,0,1898,10
226,0.988261218,0,1898,11
227,1.005953892,0,1898,12
324,1.170052069,0,1899,1
325,1.178261182,0,1899,2
326,1.264341597,0,1899,3
327,1.523890052,0,1899,4
328,1.752655245,0,1899,5
329,1.472399886,0,1899,6
330,2.309798398,0,1899,7
331,2.064212478,0,1899,8
332,1.265368943,0,1899,9
333,1.593867542,0,1899,10
334,1.191399313,0,1899,11
335,1.212963648,0,1899,12
432,1.043854783,0,1900,1
433,0.953698734,0,1900,2
434,1.335127832,0,1900,3
435,3.078264167,0,1900,4
436,1.881230577,0,1900,5
437,1.809724779,0,1900,6
438,1.9760479,0,1900,7
439,1.756232366,0,1900,8
440,1.39945468,0,1900,9
441,1.073210363,0,1900,10
442,1.034297835,0,1900,11
443,0.948251267,0,1900,12
540,0.818985478,0,1901,1
541,1.06975891,0,1901,2
542,1.376811648,0,1901,3
543,2.421911099,0,1901,4
544,2.494937079,0,1901,5
545,1.602428556,0,1901,6
546,1.782247856,0,1901,7
547,1.975965028,0,1901,8
548,1.355630837,0,1901,9
549,1.448776988,0,1901,10
550,0.799213921,0,1901,11
551,0.949631432,0,1901,12
648,0.997251782,0,1902,1
649,1.086867737,0,1902,2
650,1.54754216,0,1902,3
651,1.574472656,0,1902,4
652,2.00821819,0,1902,5
653,1.586631728,0,1902,6
654,1.741699284,0,1902,7
655,2.1548782,0,1902,8
656,1.550031436,0,1902,9
657,1.404844825,0,1902,10
658,1.036910616,0,1902,11
659,1.190006438,0,1902,12
756,0.926736628,0,1903,1
757,1.277425741,0,1903,2
758,1.337812837,0,1903,3
759,1.957848919,0,1903,4
760,1.718557022,0,1903,5
761,2.090529317,0,1903,6
762,1.926285439,0,1903,7
763,2.074788642,0,1903,8
764,1.235698769,0,1903,9
765,1.504223063,0,1903,10
766,0.885706454,0,1903,11
767,0.950109278,0,1903,12
864,0.89411386,0,1904,1
865,0.788192413,0,1904,2
866,1.425792243,0,1904,3
867,1.49673925,0,1904,4
868,2.097092701,0,1904,5
869,2.167217171,0,1904,6
870,2.131099286,0,1904,7
871,2.047312444,0,1904,8
872,1.628757603,0,1904,9
873,1.414019329,0,1904,10
874,0.637599772,0,1904,11
875,0.932276194,0,1904,12
972,1.073780995,0,1905,1
973,1.286693713,0,1905,2
974,2.127402106,0,1905,3
975,2.231455072,0,1905,4
976,2.073661704,0,1905,5
977,1.310099496,0,1905,6
978,2.065564265,0,1905,7
979,1.81685558,0,1905,8
980,1.732321931,0,1905,9
981,1.421072296,0,1905,10
982,1.135908924,0,1905,11
983,0.916148833,0,1905,12
1080,1.140125772,0,1906,1
1081,1.009559316,0,1906,2
1082,2.411709239,0,1906,3
1083,3.06195954,0,1906,4
1084,2.015201024,0,1906,5
1085,1.358067255,0,1906,6
1086,2.122215229,0,1906,7
1087,2.055162758,0,1906,8
1088,1.770424636,0,1906,9
1089,1.652219026,0,1906,10
1090,1.084818982,0,1906,11
1091,0.816170498,0,1906,12
1188,1.142025086,0,1907,1
1189,1.08446774,0,1907,2
1190,1.224319793,0,1907,3
1191,2.029553144,0,1907,4
1192,2.195171721,0,1907,5
1193,1.306278898,0,1907,6
1194,2.20252641,0,1907,7
1195,1.903593733,0,1907,8
1196,1.314519213,0,1907,9
1197,1.204409013,0,1907,10
1198,1.003084058,0,1907,11
1199,1.338966516,0,1907,12
1296,1.154591437,0,1908,1
1297,1.138644345,0,1908,2
1298,1.04650435,0,1908,3
1299,1.361659581,0,1908,4
1300,2.012538178,0,1908,5
1301,1.328391587,0,1908,6
1302,2.188740238,0,1908,7
1303,1.963148534,0,1908,8
1304,1.385452932,0,1908,9
1305,1.682137617,0,1908,10
1306,1.072651869,0,1908,11
1307,1.15698032,0,1908,12
1404,1.147288419,0,1909,1
1405,1.137040087,0,1909,2
1406,1.426358872,0,1909,3
1407,1.747053322,0,1909,4
1408,1.903373894,0,1909,5
1409,1.33110392,0,1909,6
1410,2.168233467,0,1909,7
1411,2.113567814,0,1909,8
1412,1.477615727,0,1909,9
1413,1.203594234,0,1909,10
1414,1.223553767,0,1909,11
1415,1.056102087,0,1909,12
1512,1.144348884,0,1910,1
1513,1.116512407,0,1910,2
1514,1.326066014,0,1910,3
1515,1.721723462,0,1910,4
1516,1.990838585,0,1910,5
1517,1.263189261,0,1910,6
1518,2.189781327,0,1910,7
1519,2.125665711,0,1910,8
1520,1.48590466,0,1910,9
1521,1.486026696,0,1910,10
1522,1.109129893,0,1910,11
1523,0.959725218,0,1910,12
1620,1.105439523,0,1911,1
1621,1.180078518,0,1911,2
1622,1.299685486,0,1911,3
1623,1.621463768,0,1911,4
1624,1.797303395,0,1911,5
1625,1.570374062,0,1911,6
1626,2.435279971,0,1911,7
1627,1.908562643,0,1911,8
1628,1.518810438,0,1911,9
1629,1.366183416,0,1911,10
1630,1.144072142,0,1911,11
1631,1.004199224,0,1911,12
1728,1.031553265,0,1912,1
1729,1.117254166,0,1912,2
1730,1.797375611,0,1912,3
1731,1.964023604,0,1912,4
1732,1.742795703,0,1912,5
1733,2.155414718,0,1912,6
1734,2.451241967,0,1912,7
1735,1.866795811,0,1912,8
1736,1.548978463,0,1912,9
1737,1.652429163,0,1912,10
1738,1.105267681,0,1912,11
