,forecast,encode_state,Year,Month
0,22.74715996,0,1896,1
1,24.0248642,0,1896,2
2,25.32925034,0,1896,3
3,44.0848465,0,1896,4
4,53.09910202,0,1896,5
5,60.78697586,0,1896,6
6,65.59681702,0,1896,7
7,65.38578033,0,1896,8
8,60.593853,0,1896,9
9,44.96980286,0,1896,10
10,25.53979683,0,1896,11
11,27.53974915,0,1896,12
12,18.7630043,0,1897,1
13,23.82930756,0,1897,2
14,31.97918129,0,1897,3
15,43.89655304,0,1897,4
16,50.57999039,0,1897,5
17,64.43113708,0,1897,6
18,66.77298737,0,1897,7
19,63.98269653,0,1897,8
20,58.14505005,0,1897,9
21,46.80039597,0,1897,10
22,33.34267426,0,1897,11
23,24.41885567,0,1897,12
24,23.86495209,0,1898,1
25,22.94788933,0,1898,2
26,32.88740921,0,1898,3
27,42.95222855,0,1898,4
28,51.87302017,0,1898,5
29,61.98709869,0,1898,6
30,65.16246796,0,1898,7
31,65.27590179,0,1898,8
32,57.1006012,0,1898,9
33,46.15350723,0,1898,10
34,31.55123901,0,1898,11
35,29.54805946,0,1898,12
36,25.87841415,0,1899,1
37,22.02156258,0,1899,2
38,30.4655571,0,1899,3
39,44.1125145,0,1899,4
40,52.05510712,0,1899,5
41,59.96175385,0,1899,6
42,65.25785828,0,1899,7
43,63.4274826,0,1899,8
44,57.13005829,0,1899,9
45,43.54730225,0,1899,10
46,32.83084488,0,1899,11
47,24.48200798,0,1899,12
48,23.65716934,0,1900,1
49,20.30180931,0,1900,2
50,32.93592834,0,1900,3
51,45.04344559,0,1900,4
52,52.30477905,0,1900,5
53,62.71793365,0,1900,6
54,66.13871765,0,1900,7
55,65.3030014,0,1900,8
56,57.74834061,0,1900,9
57,48.12337494,0,1900,10
58,34.49393845,0,1900,11
59,27.54851341,0,1900,12
60,23.4098053,0,1901,1
61,21.11183739,0,1901,2
62,29.75149155,0,1901,3
63,42.94538498,0,1901,4
64,51.31411362,0,1901,5
65,64.6444931,0,1901,6
66,64.95617676,0,1901,7
67,64.05241394,0,1901,8
68,61.0173378,0,1901,9
69,46.16167831,0,1901,10
70,28.22086525,0,1901,11
71,24.68863487,0,1901,12
72,19.35173988,0,1902,1
73,20.1340313,0,1902,2
74,32.39667892,0,1902,3
