,forecast,encode_state,Year,Month
0,33.45157242,0,1896,1
1,32.90856171,0,1896,2
2,45.46294022,0,1896,3
3,59.2634964,0,1896,4
4,66.49925232,0,1896,5
5,72.84305573,0,1896,6
6,78.00059509,0,1896,7
7,80.7166214,0,1896,8
8,77.34780121,0,1896,9
9,58.71334457,0,1896,10
10,44.48347473,0,1896,11
11,36.01773834,0,1896,12
12,41.26245117,0,1897,1
13,40.53969955,0,1897,2
14,45.13362503,0,1897,3
15,57.74950027,0,1897,4
16,68.21163177,0,1897,5
17,80.52112579,0,1897,6
18,81.37001801,0,1897,7
19,81.31738281,0,1897,8
20,70.11086273,0,1897,9
21,55.89766312,0,1897,10
22,42.86988068,0,1897,11
23,42.35879135,0,1897,12
24,34.08341599,0,1898,1
25,35.00241089,0,1898,2
26,44.97467041,0,1898,3
27,55.66381454,0,1898,4
28,72.224823,0,1898,5
29,77.45626831,0,1898,6
30,81.26130676,0,1898,7
31,78.77888489,0,1898,8
32,76.03528595,0,1898,9
33,60.20682526,0,1898,10
34,46.75516891,0,1898,11
35,35.88859177,0,1898,12
36,33.24354553,0,1899,1
37,41.70568085,0,1899,2
38,45.6959877,0,1899,3
39,59.37526703,0,1899,4
40,61.37330627,0,1899,5
41,76.46005249,0,1899,6
42,82.35684204,0,1899,7
43,81.94969177,0,1899,8
44,70.58548737,0,1899,9
45,56.72823715,0,1899,10
46,44.70976639,0,1899,11
47,32.56888962,0,1899,12
48,34.0725975,0,1900,1
49,31.36834908,0,1900,2
50,44.20340347,0,1900,3
51,58.27607727,0,1900,4
52,65.4986496,0,1900,5
53,77.55135345,0,1900,6
54,79.53393555,0,1900,7
55,80.61808014,0,1900,8
56,76.00239563,0,1900,9
57,54.96068954,0,1900,10
58,48.50523758,0,1900,11
59,35.36503601,0,1900,12
60,39.99150467,0,1901,1
61,36.10703659,0,1901,2
62,50.32937622,0,1901,3
63,53.13536835,0,1901,4
64,69.845047,0,1901,5
65,80.43273926,0,1901,6
66,80.99972534,0,1901,7
67,82.03253937,0,1901,8
68,69.08709717,0,1901,9
69,62.65504074,0,1901,10
70,47.06648636,0,1901,11
71,41.31480789,0,1901,12
72,36.50746155,0,1902,1
73,35.84165192,0,1902,2
74,45.45460892,0,1902,3
75,54.93121719,0,1902,4
76,66.30767059,0,1902,5
77,77.29832458,0,1902,6
78,85.28871918,0,1902,7
79,80.52127075,0,1902,8
80,71.07076263,0,1902,9
81,63.13783264,0,1902,10
82,52.20022964,0,1902,11
83,36.85277176,0,1902,12
84,34.41397858,0,1903,1
85,42.71409225,0,1903,2
86,44.04873657,0,1903,3
87,59.07143784,0,1903,4
88,70.49465942,0,1903,5
