Date,Average Temperature_x,Anomaly,Maximun Temperature,Anomaly.1,Minimum Temperature,Anomaly.2,Year,Month,encode_state
189501,21.6,-2.1,33.6,-2.8,9.6,-1.4,1896,1,0
189502,19.2,-8,33.3,-7.1,5.2,-8.9,1896,2,0
189503,31.7,-1.9,46.1,-0.7,17.4,-3,1896,3,0
189504,44.5,2,60.8,4.6,28.3,-0.6,1896,4,0
189505,51.6,-0.3,66.5,0.7,36.7,-1.2,1896,5,0
189506,58.5,-2.8,74,-2.3,43,-3.2,1896,6,0
189507,63.2,-3.8,77.7,-4.2,48.8,-3.3,1896,7,0
189508,64.9,-0.3,80,0.2,49.8,-0.9,1896,8,0
189509,58.8,1.4,75.7,3.5,41.8,-0.7,1896,9,0
189510,45.1,-1.3,60.3,-0.5,30,-2,1896,10,0
189511,29.2,-4.3,42.3,-4.3,16.1,-4.2,1896,11,0
189512,20.9,-4.2,33.9,-3.7,8,-4.6,1896,12,0
189601,27.4,3.7,41.2,4.8,13.6,2.6,1897,1,0
189602,27.1,-0.1,41.3,0.9,12.9,-1.2,1897,2,0
189603,31.6,-2,44.8,-2,18.4,-2,1897,3,0
189604,43.6,1.1,58.3,2.1,28.8,-0.1,1897,4,0
189605,53.1,1.2,68,2.2,38.1,0.2,1897,5,0
189606,63.8,2.5,80.2,3.9,47.5,1.3,1897,6,0
189607,67,0,80.9,-1,53,0.9,1897,7,0
189608,65.9,0.7,81.2,1.4,50.5,-0.2,1897,8,0
189609,56.5,-0.9,70.1,-2.1,42.9,0.4,1897,9,0
189610,44.7,-1.7,59.2,-1.6,30.2,-1.8,1897,10,0
189611,29,-4.5,42.8,-3.8,15.1,-5.2,1897,11,0
189612,28.8,3.7,43.1,5.5,14.5,1.9,1897,12,0
189701,21.5,-2.2,34.2,-2.2,8.8,-2.2,1898,1,0
189702,24.7,-2.5,36.8,-3.6,12.6,-1.5,1898,2,0
189703,30.2,-3.4,42.8,-4,17.5,-2.9,1898,3,0
189704,42.3,-0.2,55.8,-0.4,28.8,-0.1,1898,4,0
189705,55.5,3.6,70.5,4.7,40.6,2.7,1898,5,0
189706,61.4,0.1,77.4,1.1,45.3,-0.9,1898,6,0
189707,65.8,-1.2,82,0.1,49.5,-2.6,1898,7,0
189708,64.3,-0.9,79.6,-0.2,48.9,-1.8,1898,8,0
189709,60.8,3.4,75.2,3,46.4,3.9,1898,9,0
189710,46.3,-0.1,59.8,-1,32.8,0.8,1898,10,0
189711,34.7,1.2,48.5,1.9,20.8,0.5,1898,11,0
189712,20.9,-4.2,33.4,-4.2,8.4,-4.2,1898,12,0
189801,19.4,-4.3,32.6,-3.8,6.3,-4.7,1899,1,0
189802,28.9,1.7,43.4,3,14.4,0.3,1899,2,0
189803,29.9,-3.7,43.5,-3.3,16.4,-4,1899,3,0
189804,44.3,1.8,59,2.8,29.6,0.7,1899,4,0
189805,49.2,-2.7,61.8,-4,36.6,-1.3,1899,5,0
189806,61.7,0.4,76.6,0.3,46.7,0.5,1899,6,0
189807,67,0,81.9,0,52.1,0,1899,7,0
189808,66.5,1.3,82,2.2,51.1,0.4,1899,8,0
189809,55.5,-1.9,72.2,0,38.8,-3.7,1899,9,0
189810,43,-3.4,57.7,-3.1,28.2,-3.8,1899,10,0
189811,29.4,-4.1,43,-3.6,15.8,-4.5,1899,11,0
189812,17.8,-7.3,30.9,-6.7,4.8,-7.8,1899,12,0
189901,21.2,-2.5,34,-2.4,8.3,-2.7,1900,1,0
189902,16.5,-10.7,29.4,-11,3.6,-10.5,1900,2,0
189903,31.2,-2.4,43.7,-3.1,18.7,-1.7,1900,3,0
189904,43.4,0.9,58.7,2.5,28.2,-0.7,1900,4,0
189905,51.2,-0.7,66.5,0.7,35.9,-2,1900,5,0
189906,61.1,-0.2,77.2,0.9,45.1,-1.1,1900,6,0
189907,65.9,-1.1,80.2,-1.7,51.6,-0.5,1900,7,0
189908,64.6,-0.6,79.8,0,49.5,-1.2,1900,8,0
189909,58.6,1.2,74.9,2.7,42.4,-0.1,1900,9,0
189910,44.6,-1.8,58,-2.8,31.3,-0.7,1900,10,0
189911,37,3.5,50.5,3.9,23.5,3.2,1900,11,0
189912,22.7,-2.4,35,-2.6,10.4,-2.2,1900,12,0
190001,28.3,4.6,40.8,4.4,15.9,4.9,1901,1,0
190002,25.3,-1.9,39.1,-1.3,11.5,-2.6,1901,2,0
190003,36.9,3.3,51.9,5.1,21.9,1.5,1901,3,0
190004,40.5,-2,52.4,-3.8,28.7,-0.2,1901,4,0
190005,53.5,1.6,68.1,2.3,39,1.1,1901,5,0
190006,63.7,2.4,80.1,3.8,47.2,1,1901,6,0
190007,66.5,-0.5,82.9,1,50.2,-1.9,1901,7,0
190008,64.9,-0.3,81.9,2.1,47.9,-2.8,1901,8,0
190009,55.7,-1.7,70.2,-2,41.2,-1.3,1901,9,0
190010,47.6,1.2,62.9,2.1,32.4,0.4,1901,10,0
190011,34.8,1.3,49.3,2.7,20.4,0.1,1901,11,0
190012,27.2,2.1,41.5,3.9,12.9,0.3,1901,12,0
190101,25.2,1.5,39.4,3,11.1,0.1,1902,1,0
190102,24.7,-2.5,37.9,-2.5,11.5,-2.6,1902,2,0
190103,32,-1.6,46,-0.8,17.9,-2.5,1902,3,0
190104,41.4,-1.1,55.5,-0.7,27.2,-1.7,1902,4,0
190105,53.3,1.4,67.6,1.8,39.1,1.2,1902,5,0
190106,61,-0.3,76.8,0.5,45.3,-0.9,1902,6,0
190107,70,3,86.7,4.8,53.4,1.3,1902,7,0
190108,66.3,1.1,80.7,0.9,51.8,1.1,1902,8,0
190109,56.5,-0.9,72.7,0.5,40.4,-2.1,1902,9,0
190110,47.9,1.5,63.1,2.3,32.7,0.7,1902,10,0
190111,37.3,3.8,52.9,6.3,21.6,1.3,1902,11,0
190112,25.7,0.6,38.6,1,12.8,0.2,1902,12,0
190201,24.6,0.9,38.4,2,10.8,-0.2,1903,1,0
190202,29.5,2.3,43.2,2.8,15.9,1.8,1903,2,0
190203,31.5,-2.1,44.3,-2.5,18.6,-1.8,1903,3,0
190204,44,1.5,59,2.8,28.8,-0.1,1903,4,0
190205,53.7,1.8,68.7,2.9,38.7,0.8,1903,5,0
190206,62.4,1.1,78.8,2.5,46.1,-0.1,1903,6,0
190207,64.4,-2.6,80.3,-1.6,48.4,-3.7,1903,7,0
190208,65.7,0.5,80.8,1,50.6,-0.1,1903,8,0
190209,55.5,-1.9,72.3,0.1,38.8,-3.7,1903,9,0
190210,46.9,0.5,61.8,1,32.1,0.1,1903,10,0
190211,34,0.5,46.7,0.1,21.4,1.1,1903,11,0
190212,24.1,-1,36.4,-1.2,11.7,-0.9,1903,12,0
190301,24.7,1,37.5,1.1,11.9,0.9,1904,1,0
190302,15.5,-11.7,28.3,-12.1,2.6,-11.5,1904,2,0
190303,31.5,-2.1,44.1,-2.7,18.8,-1.6,1904,3,0
190304,41.9,-0.6,55.6,-0.6,28.3,-0.6,1904,4,0
190305,49.4,-2.5,63.8,-2,34.9,-3,1904,5,0
190306,57.4,-3.9,69.8,-6.5,45,-1.2,1904,6,0
190307,65.9,-1.1,80.9,-1,50.8,-1.3,1904,7,0
190308,65,-0.2,80.3,0.5,49.8,-0.9,1904,8,0
190309,54.8,-2.6,70,-2.2,39.5,-3,1904,9,0
190310,46.4,0,62.4,1.6,30.4,-1.6,1904,10,0
190311,34.6,1.1,49.7,3.1,19.4,-0.9,1904,11,0
190312,26.4,1.3,41.8,4.2,10.9,-1.7,1904,12,0
190401,21.8,-1.9,36.6,0.2,7.1,-3.9,1905,1,0
190402,32,4.8,47.3,6.9,16.7,2.6,1905,2,0
190403,36.9,3.3,51.4,4.6,22.3,1.9,1905,3,0
190404,43.4,0.9,58.3,2.1,28.6,-0.3,1905,4,0
190405,51.6,-0.3,65.5,-0.3,37.6,-0.3,1905,5,0
190406,57.8,-3.5,71.7,-4.6,43.9,-2.3,1905,6,0
190407,63.9,-3.1,79,-2.9,48.8,-3.3,1905,7,0
190408,64,-1.2,77.8,-2,50.1,-0.6,1905,8,0
190409,57.4,0,72.2,0,42.5,0,1905,9,0
190410,46,-0.4,60.2,-0.6,31.8,-0.2,1905,10,0
190411,35.6,2.1,53,6.4,18.1,-2.2,1905,11,0
190412,26.4,1.3,39.8,2.2,12.9,0.3,1905,12,0
190501,23.1,-0.6,33.9,-2.5,12.2,1.2,1906,1,0
190502,20.8,-6.4,33,-7.4,8.5,-5.6,1906,2,0
190503,37.7,4.1,48.8,2,26.6,6.2,1906,3,0
190504,41,-1.5,53,-3.2,29,0.1,1906,4,0
190505,49.2,-2.7,61.8,-4,36.6,-1.3,1906,5,0
190506,62,0.7,77,0.7,47,0.8,1906,6,0
190507,64.2,-2.8,79,-2.9,49.4,-2.7,1906,7,0
190508,65.9,0.7,81.2,1.4,50.4,-0.3,1906,8,0
190509,58.4,1,73.4,1.2,43.5,1,1906,9,0
190510,42.7,-3.7,57.7,-3.1,27.6,-4.4,1906,10,0
190511,35.4,1.9,48.3,1.7,22.4,2.1,1906,11,0
190512,21.5,-3.6,35.8,-1.8,7.3,-5.3,1906,12,0
190601,25.5,1.8,39.5,3.1,11.6,0.6,1907,1,0
190602,29.1,1.9,43.9,3.5,14.3,0.2,1907,2,0
190603,28.3,-5.3,39.3,-7.5,17.3,-3.1,1907,3,0
190604,43.4,0.9,56.2,0,30.6,1.7,1907,4,0
190605,51.6,-0.3,65.5,-0.3,37.6,-0.3,1907,5,0
190606,59.2,-2.1,74.6,-1.7,43.9,-2.3,1907,6,0
190607,63,-4,76.7,-5.2,49.2,-2.9,1907,7,0
190608,63.5,-1.7,78.3,-1.5,48.6,-2.1,1907,8,0
190609,56.1,-1.3,69.8,-2.4,42.3,-0.2,1907,9,0
190610,43.7,-2.7,58.1,-2.7,29.4,-2.6,1907,10,0
190611,32.6,-0.9,44.2,-2.4,21,0.7,1907,11,0
190612,31.5,6.4,43.5,5.9,19.4,6.8,1907,12,0
190701,27.3,3.6,38.9,2.5,15.8,4.8,1908,1,0
190702,34.5,7.3,48.7,8.3,20.4,6.3,1908,2,0
190703,40.2,6.6,54,7.2,26.3,5.9,1908,3,0
190704,41.9,-0.6,55.5,-0.7,28.2,-0.7,1908,4,0
190705,46.3,-5.6,58.7,-7.1,33.9,-4,1908,5,0
190706,57.5,-3.8,71.8,-4.5,43.2,-3,1908,6,0
190707,65.9,-1.1,80.7,-1.2,51,-1.1,1908,7,0
190708,64.3,-0.9,78,-1.8,50.5,-0.2,1908,8,0
190709,57.1,-0.3,72.4,0.2,41.7,-0.8,1908,9,0
190710,48.4,2,63.1,2.3,33.7,1.7,1908,10,0
190711,32.3,-1.2,46.5,-0.1,18,-2.3,1908,11,0
190712,25.8,0.7,38.1,0.5,13.6,1,1908,12,0
190801,24.5,0.8,38,1.6,11,0,1909,1,0
190802,27,-0.2,40.3,-0.1,13.6,-0.5,1909,2,0
190803,36.9,3.3,51.2,4.4,22.6,2.2,1909,3,0
190804,43.9,1.4,59,2.8,28.8,-0.1,1909,4,0
190805,48.6,-3.3,62.8,-3,34.5,-3.4,1909,5,0
190806,59,-2.3,74.2,-2.1,43.7,-2.5,1909,6,0
190807,65.5,-1.5,80.1,-1.8,50.9,-1.2,1909,7,0
190808,63.6,-1.6,77,-2.8,50.2,-0.5,1909,8,0
190809,58.2,0.8,74.4,2.2,41.9,-0.6,1909,9,0
190810,42.8,-3.6,56.1,-4.7,29.6,-2.4,1909,10,0
190811,31.2,-2.3,44.8,-1.8,17.7,-2.6,1909,11,0
190812,22.3,-2.8,34,-3.6,10.6,-2,1909,12,0
190901,27.5,3.8,38.8,2.4,16.3,5.3,1910,1,0
190902,25.5,-1.7,38.2,-2.2,12.8,-1.3,1910,2,0
190903,31.5,-2.1,43.3,-3.5,19.7,-0.7,1910,3,0
190904,38.9,-3.6,51.8,-4.4,26,-2.9,1910,4,0
190905,48.4,-3.5,62.4,-3.4,34.5,-3.4,1910,5,0
190906,60.9,-0.4,75.8,-0.5,46,-0.2,1910,6,0
190907,67.4,0.4,81.9,0,52.9,0.8,1910,7,0
190908,66.5,1.3,79.9,0.1,53.2,2.5,1910,8,0
190909,56.2,-1.2,69.8,-2.4,42.7,0.2,1910,9,0
190910,46.8,0.4,61.9,1.1,31.7,-0.3,1910,10,0
190911,35.1,1.6,47.5,0.9,22.6,2.3,1910,11,0
190912,14.9,-10.2,25.8,-11.8,3.9,-8.7,1910,12,0
191001,23.2,-0.5,35.1,-1.3,11.3,0.3,1911,1,0
191002,23.8,-3.4,37.5,-2.9,10.2,-3.9,1911,2,0
191003,42.3,8.7,58.4,11.6,26.2,5.8,1911,3,0
191004,45.2,2.7,60.4,4.2,30.1,1.2,1911,4,0
191005,51.2,-0.7,65.2,-0.6,37.2,-0.7,1911,5,0
191006,62.4,1.1,78.4,2.1,46.3,0.1,1911,6,0
191007,67.9,0.9,83.6,1.7,52.1,0,1911,7,0
191008,64.6,-0.6,79.1,-0.7,50.1,-0.6,1911,8,0
191009,59.4,2,74.3,2.1,44.4,1.9,1911,9,0
191010,47.4,1,63.1,2.3,31.6,-0.4,1911,10,0
191011,38,4.5,51.3,4.7,24.7,4.4,1911,11,0
191012,27.8,2.7,40.1,2.5,15.5,2.9,1911,12,0
191101,30,6.3,42.3,5.9,17.6,6.6,1912,1,0
191102,25.7,-1.5,37.7,-2.7,13.8,-0.3,1912,2,0
191103,37.9,4.3,51.1,4.3,24.8,4.4,1912,3,0
191104,43,0.5,56.9,0.7,29.1,0.2,1912,4,0
191105,53,1.1,68,2.2,38,0.1,1912,5,0
191106,62.9,1.6,77.9,1.6,47.8,1.6,1912,6,0
191107,64.7,-2.3,77.5,-4.4,51.9,-0.2,1912,7,0
191108,63.8,-1.4,78.9,-0.9,48.6,-2.1,1912,8,0
191109,59.5,2.1,73.7,1.5,45.4,2.9,1912,9,0
191110,43.2,-3.2,56.1,-4.7,30.2,-1.8,1912,10,0
191111,29.7,-3.8,42.8,-3.8,16.6,-3.7,1912,11,0
191112,19.4,-5.7,32.1,-5.5,6.8,-5.8,1912,12,0
191201,21.3,-2.4,34,-2.4,8.7,-2.3,1913,1,0
191202,25.2,-2,37,-3.4,13.5,-0.6,1913,2,0
191203,27.8,-5.8,38.3,-8.5,17.3,-3.1,1913,3,0
191204,39.6,-2.9,52.4,-3.8,26.8,-2.1,1913,4,0
191205,50.7,-1.2,64.6,-1.2,36.9,-1,1913,5,0
191206,58.1,-3.2,72,-4.3,44.2,-2,1913,6,0
191207,64.7,-2.3,78.2,-3.7,51.2,-0.9,1913,7,0
191208,63.5,-1.7,77.7,-2.1,49.2,-1.5,1913,8,0
191209,51,-6.4,64.8,-7.4,37.1,-5.4,1913,9,0
191210,44.2,-2.2,58.1,-2.7,30.4,-1.6,1913,10,0
191211,34.3,0.8,48.9,2.3,19.7,-0.6,1913,11,0
191212,21,-4.1,34.4,-3.2,7.5,-5.1,1913,12,0
191301,19.9,-3.8,33.6,-2.8,6.2,-4.8,1914,1,0
191302,20.8,-6.4,32.8,-7.6,8.8,-5.3,1914,2,0
191303,30.5,-3.1,43.3,-3.5,17.7,-2.7,1914,3,0
191304,43.2,0.7,57.6,1.4,28.8,-0.1,1914,4,0
191305,53.6,1.7,68.8,3,38.4,0.5,1914,5,0
191306,60.4,-0.9,74.3,-2,46.5,0.3,1914,6,0
191307,66,-1,80.9,-1,51,-1.1,1914,7,0
191308,67,1.8,82.6,2.8,51.5,0.8,1914,8,0
191309,54,-3.4,67.8,-4.4,40.2,-2.3,1914,9,0
191310,42.8,-3.6,56.3,-4.5,29.2,-2.8,1914,10,0
191311,37.4,3.9,49.6,3,25.1,4.8,1914,11,0
191312,18.1,-7,29.6,-8,6.7,-5.9,1914,12,0
191401,26,2.3,36.9,0.5,15,4,1915,1,0
191402,23.8,-3.4,37.2,-3.2,10.4,-3.7,1915,2,0
191403,33.8,0.2,47.8,1,19.8,-0.6,1915,3,0
191404,43.2,0.7,55.6,-0.6,30.8,1.9,1915,4,0
191405,52.6,0.7,65.5,-0.3,39.6,1.7,1915,5,0
191406,61.8,0.5,76,-0.3,47.5,1.3,1915,6,0
191407,65.9,-1.1,78.8,-3.1,53,0.9,1915,7,0
191408,64.5,-0.7,79.1,-0.7,49.9,-0.8,1915,8,0
191409,58.7,1.3,74.3,2.1,43.1,0.6,1915,9,0
191410,46.8,0.4,60.5,-0.3,33,1,1915,10,0
191411,37,3.5,53.6,7,20.2,-0.1,1915,11,0
191412,18.8,-6.3,30.4,-7.2,7.2,-5.4,1915,12,0
191501,20.2,-3.5,33.3,-3.1,7.1,-3.9,1916,1,0
191502,28,0.8,40.4,0,15.6,1.5,1916,2,0
191503,29.3,-4.3,40.6,-6.2,18,-2.4,1916,3,0
191504,45.9,3.4,57.9,1.7,34,5.1,1916,4,0
191505,48.1,-3.8,60.9,-4.9,35.3,-2.6,1916,5,0
191506,57.6,-3.7,71.4,-4.9,43.7,-2.5,1916,6,0
191507,63.7,-3.3,78,-3.9,49.5,-2.6,1916,7,0
191508,61.6,-3.6,75.9,-3.9,47.3,-3.4,1916,8,0
191509,56.1,-1.3,70,-2.2,42.3,-0.2,1916,9,0
